dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
metabolite_35,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.0034281182012130605,1.0814817099874983,0.27961015638388215,2064.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.46897300483042925
metabolite_50,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.011351821882675322,-2.7535825190107572,0.005947654723522244,2028.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.03314195248479277
metabolite_55,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.009217791715044972,2.2200809660612832,0.026515817091169482,2194.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.09573381351390106
metabolite_62,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.0006922798226984214,0.17533310533754512,0.860836169455141,1958.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.9246018116370033
metabolite_93,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0057643813611200235,-2.4948169592300453,0.012675760912052029,2193.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.057501427495884286
metabolite_98,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.004028259105077615,1.747332312176005,0.08072006302604959,2202.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.20157593516782937
metabolite_111,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.0035449696863984353,1.0505673777767042,0.2935730308073889,2209.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.486732231794059
metabolite_112,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.004585059350905973,-2.03096950763018,0.042378600719075135,2206.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.12741927105835635
metabolite_132,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.01694509630721143,-3.651650319336719,0.00026725651814295595,2015.0,132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0,0.0028878491290840707
metabolite_136,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.040724812930325587,-4.370048089349578,1.3028961719597315e-05,2110.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.00026620537695268146
