dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
metabolite_100001167,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0027063138864517125,-0.9707045483438939,0.3318024741951181,2208.0,100001167,Urea cycle; Arginine and Proline Metabolism,Amino Acid,pro-hydroxy-pro,18684-24-7,,HMDB06695,11673055.0,0.4293914371936823
metabolite_100001167,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.017964798839750572,2.4766118111699007,0.01333852242287458,2208.0,100001167,Urea cycle; Arginine and Proline Metabolism,Amino Acid,pro-hydroxy-pro,18684-24-7,,HMDB06695,11673055.0,0.04075870677038611
metabolite_100001597,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.006646779537074193,2.271107393042798,0.02323773638463946,2192.0,100001597,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,tiglylcarnitine (C5:1-DC),64191-86-2,,HMDB02366,22833596.0,0.06390377505775852
metabolite_100001597,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.001744311554371914,0.2301763389403038,0.8179763728615317,2192.0,100001597,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,tiglylcarnitine (C5:1-DC),64191-86-2,,HMDB02366,22833596.0,0.8778283025831072
metabolite_100004295,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.06891799932705925,-8.952142760492881,7.524697222223841e-19,2101.0,100004295,Food Component/Plant,Xenobiotics,2-piperidinone,675-20-7,,HMDB11749,12665.0,3.31086677777849e-17
metabolite_100004295,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.04277702363937788,2.107186615046994,0.03522049246050452,2101.0,100004295,Food Component/Plant,Xenobiotics,2-piperidinone,675-20-7,,HMDB11749,12665.0,0.08609453712567772
metabolite_999953267,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.010744073922163491,-2.8408369291050857,0.004550531572982668,1802.0,999953267,,,X - 24748,,,,,0.018202126291930673
metabolite_999953267,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.016571250256577155,1.7035423314613665,0.08864049133008418,1802.0,999953267,,,X - 24748,,,,,0.1650123242017159
metabolite_999946701,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.007964080430074863,1.6971190699627645,0.08981669778498115,2198.0,999946701,,,X - 19141,,,,,0.1650123242017159
metabolite_999946701,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.00023345323966823996,0.0191411308741185,0.9847302689764256,2198.0,999946701,,,X - 19141,,,,,0.9847302689764256
metabolite_999933132,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0017051064886739473,-0.9784397271683513,0.32796565262710276,2191.0,999933132,,,X - 11787,,,,,0.4293914371936823
metabolite_999933132,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.009194470186360198,2.0481994835096256,0.040660227280997864,2191.0,999933132,,,X - 11787,,,,,0.08945250001819531
metabolite_999947670,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0015902428634871307,-0.4429089875287241,0.6578830705007697,1875.0,999947670,,,X - 18899,,,,,0.7617593447903649
metabolite_999947670,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.0049281608702014205,0.525347492668242,0.5994042648968793,1875.0,999947670,,,X - 18899,,,,,0.7128050717692618
metabolite_100009005,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0035793561478314035,-1.5720171121603916,0.11609143184956729,2199.0,100009005,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,,,HMDB11342,,0.1891860370881837
metabolite_100009005,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.008696937302555944,1.4659393556071272,0.1428087636018935,2199.0,100009005,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,,,HMDB11342,,0.2244137713744041
