dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
metabolite_100001167,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0015998233197209739,-0.5759574141798162,0.5647027973836767,2208.0,100001167,Urea cycle; Arginine and Proline Metabolism,Amino Acid,pro-hydroxy-pro,18684-24-7,,HMDB06695,11673055.0,0.6715384617535615
metabolite_100001167,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.01570764742440587,2.1793346204165496,0.029412421577216425,2208.0,100001167,Urea cycle; Arginine and Proline Metabolism,Amino Acid,pro-hydroxy-pro,18684-24-7,,HMDB06695,11673055.0,0.07189703052208458
metabolite_100001597,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.006348729850894946,2.1823806029987147,0.029187518464152566,2192.0,100001597,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,tiglylcarnitine (C5:1-DC),64191-86-2,,HMDB02366,22833596.0,0.07189703052208458
metabolite_100001597,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.0031520191503795142,0.4192449915570927,0.6750782680243552,2192.0,100001597,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,tiglylcarnitine (C5:1-DC),64191-86-2,,HMDB02366,22833596.0,0.7538555095631433
metabolite_100004295,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.07170844547599652,-9.363784400756193,1.9160932895739413e-20,2101.0,100004295,Food Component/Plant,Xenobiotics,2-piperidinone,675-20-7,,HMDB11749,12665.0,8.430810474125341e-19
metabolite_100004295,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.0561411733135858,2.7925711147148586,0.005276567543857468,2101.0,100004295,Food Component/Plant,Xenobiotics,2-piperidinone,675-20-7,,HMDB11749,12665.0,0.019347414327477382
metabolite_999953267,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.01157470639985003,-3.0786950900224532,0.00211054131527292,1802.0,999953267,,,X - 24748,,,,,0.00844216526109168
metabolite_999953267,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.019908095860493715,2.0603696215147176,0.03950688929211097,1802.0,999953267,,,X - 24748,,,,,0.08277633946918489
metabolite_999946701,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.010774157354449995,2.299929181792514,0.021545736983490715,2198.0,999946701,,,X - 19141,,,,,0.05925077670459947
metabolite_999946701,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,-0.005022548876739917,-0.4137886027132238,0.6790693938122083,2198.0,999946701,,,X - 19141,,,,,0.7538555095631433
metabolite_999933132,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0018877616470631899,-1.0924254911454612,0.274766500772363,2191.0,999933132,,,X - 11787,,,,,0.36635533436315065
metabolite_999933132,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.009380687935774444,2.1142149037298887,0.03460986658881042,2191.0,999933132,,,X - 11787,,,,,0.08014916473198203
metabolite_999947670,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0014584452955056892,-0.4052730259681755,0.6853231905119485,1875.0,999947670,,,X - 18899,,,,,0.7538555095631433
metabolite_999947670,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.006798305493121898,0.7216406351052167,0.4706056673571932,1875.0,999947670,,,X - 18899,,,,,0.5751847045476806
metabolite_100009005,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.004026841199417027,-1.7790823392771093,0.07536467782833228,2199.0,100009005,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,,,HMDB11342,,0.1228165120165415
metabolite_100009005,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.010527645834705009,1.7888951386109686,0.0737696177357144,2199.0,100009005,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,,,HMDB11342,,0.1228165120165415
metabolite_999946283,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.006605759299585674,-2.534037737719447,0.01134841457226451,2087.0,999946283,,,X - 15461,,,,,0.0356664457985456
metabolite_999946283,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.012534155473311668,1.8746030252155592,0.06098726477635109,2087.0,999946283,,,X - 15461,,,,,0.1166712891373673
metabolite_999948081,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0032003019289482387,-1.1192127336017457,0.2631901970420068,1914.0,999948081,,,X - 22776,,,,,0.36635533436315065
metabolite_999948081,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.013259242171619464,1.8092065142863156,0.07057616844598262,1914.0,999948081,,,X - 22776,,,,,0.1228165120165415
metabolite_999946690,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.03342512914641192,4.619228374216988,4.077292764988454e-06,2175.0,999946690,,,X - 18901,,,,,8.970044082974598e-05
metabolite_999946690,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,-0.06899446249291583,-3.660490416129152,0.000257746172310218,2175.0,999946690,,,X - 18901,,,,,0.0018901385969415988
metabolite_1022,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0006688509479932977,-0.21679842694152482,0.8283869786815778,2058.0,1022,Tryptophan Metabolism,Amino Acid,picolinate,98-98-6,C10164,HMDB02243,1018.0,0.840600301563007
metabolite_1022,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,-0.0016294242524893076,-0.2011511654508523,0.840600301563007,2058.0,1022,Tryptophan Metabolism,Amino Acid,picolinate,98-98-6,C10164,HMDB02243,1018.0,0.840600301563007
metabolite_234,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.01123115446195261,-4.425481923785119,1.0089208942269068e-05,2221.0,234,Alanine and Aspartate Metabolism,Amino Acid,aspartate,56-84-8,C00049,HMDB00191,5960.0,0.000147975064486613
metabolite_234,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.009554280881105761,1.4554038070216515,0.14569914549715188,2221.0,234,Alanine and Aspartate Metabolism,Amino Acid,aspartate,56-84-8,C00049,HMDB00191,5960.0,0.22106077247843733
metabolite_100006367,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.009351160744722864,-3.0829475998349163,0.002075173275663847,2194.0,100006367,"Fatty Acid, Monohydroxy",Lipid,3-hydroxyhexanoate,10191-24-9,,,151492.0,0.00844216526109168
metabolite_100006367,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.02165746436676268,2.7416050001348093,0.006163702867050703,2194.0,100006367,"Fatty Acid, Monohydroxy",Lipid,3-hydroxyhexanoate,10191-24-9,,,151492.0,0.020861763550017762
metabolite_999952640,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.01932990843207476,-4.255784452759832,2.1935312722548655e-05,1754.0,999952640,,,X - 24411,,,,,0.0002412884399480352
metabolite_999952640,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.04143774794329557,3.534656239758665,0.0004189270464969124,1754.0,999952640,,,X - 24411,,,,,0.002633255720837735
metabolite_999946398,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.008189375360858593,-2.0890512777418184,0.0368175525098273,2209.0,999946398,,,X - 21353,,,,,0.08099861552162006
metabolite_999946398,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.018509539047787783,1.813359771308196,0.069912311930585,2209.0,999946398,,,X - 21353,,,,,0.1228165120165415
metabolite_100001399,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,0.032484775006260194,3.9678702517916724,7.493473987244617e-05,2120.0,100001399,Xanthine Metabolism,Xenobiotics,"1,7-dimethylurate",33868-03-0,C16356,HMDB11103,91611.0,0.0006594257108775264
metabolite_100001399,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,-0.006574852158591301,-0.3085345260607139,0.757706018213578,2120.0,100001399,Xanthine Metabolism,Xenobiotics,"1,7-dimethylurate",33868-03-0,C16356,HMDB11103,91611.0,0.8131479219853033
metabolite_100001651,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.011781996787113114,-3.1848843059266283,0.001469248571003987,2115.0,100001651,Lysolipid,Lipid,2-oleoyl-GPE (18:1)*,,,HMDB11476,,0.007182993013797269
metabolite_100001651,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.0020061124204504956,0.20856791958934173,0.8348056872296472,2115.0,100001651,Lysolipid,Lipid,2-oleoyl-GPE (18:1)*,,,HMDB11476,,0.840600301563007
metabolite_999947802,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.002613595330794931,-0.7742738150557182,0.4388551821435527,2126.0,999947802,,,X - 16397,,,,,0.5517036575518949
metabolite_999947802,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.021481454856451532,2.4586953782446868,0.014023664709767633,2126.0,999947802,,,X - 16397,,,,,0.04113608314865173
metabolite_100000997,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.00647357213824101,-1.739177192620427,0.08214283783073527,2215.0,100000997,"Fatty Acid, Monohydroxy",Lipid,3-hydroxydecanoate,5561-87-5,,HMDB02203,26612.0,0.12908160230544113
metabolite_100000997,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.010599620172569085,1.0927878830711708,0.2746060482610503,2215.0,100000997,"Fatty Acid, Monohydroxy",Lipid,3-hydroxydecanoate,5561-87-5,,HMDB02203,26612.0,0.36635533436315065
metabolite_100000773,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.010965905237020944,-3.2897070373317674,0.0010188954936854269,2184.0,100000773,"Fatty Acid, Monohydroxy",Lipid,3-hydroxyoctanoate,88930-08-9,,HMDB01954,26613.0,0.005603925215269848
metabolite_100000773,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae,0.010124466823497321,1.1758003017955063,0.2398031344080948,2184.0,100000773,"Fatty Acid, Monohydroxy",Lipid,3-hydroxyoctanoate,88930-08-9,,HMDB01954,26613.0,0.35171126379853906
metabolite_100003169,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.0075579883789895245,-1.889861950509203,0.058938594968213805,1787.0,100003169,Dipeptide,Peptide,isoleucylglycine,868-28-0,,HMDB28907,342532.0,0.1166712891373673
