dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_awakeDuration,metabolite_35,-0.14612591237116634,-3.3872029979155416,0.0007202931464070408,1941.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.01646297132084567
sleep_awakeningsCount,metabolite_35,0.22599841344207913,4.642162206355433,3.6602380598710406e-06,2120.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.0003346326117787185
sleep_efficiency,metabolite_35,0.00037676612443506225,0.32576109602698544,0.7446391426248715,2018.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.8995707805864629
sleep_minutesAfterWakeup,metabolite_35,-0.051778664360405804,-1.0767622750649815,0.28172997602117156,1825.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.5865115749356231
sleep_minutesAsleep,metabolite_35,-0.12659698380849302,-4.3808366446871645,1.2417338963024749e-05,2070.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.0009433679769937394
sleep_restlessDuration,metabolite_35,-0.10667619769296142,-2.7755549823152657,0.00556374523576607,1951.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.0656692380781667
sleep_awakeDuration,metabolite_50,-0.13049299471083262,-4.038634651264523,5.5908994544284696e-05,1908.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.002663470554743041
sleep_awakeningsCount,metabolite_50,0.13407098743159127,3.615137142223973,0.0003073796458780329,2080.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.009211143388145052
sleep_efficiency,metabolite_50,-0.0003797077935727422,-0.42058766385152546,0.6741021937764182,1980.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.8621809470576905
sleep_minutesAfterWakeup,metabolite_50,0.03339772601004695,0.9041802573138475,0.3660225941622748,1789.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.6688095775444818
sleep_minutesAsleep,metabolite_50,-0.0906355882248549,-4.059934315836831,5.095554930364399e-05,2038.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.0024788048370223722
sleep_restlessDuration,metabolite_50,-0.06635254646544635,-2.2647827159788303,0.02363799727095138,1919.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.15552098918103074
sleep_awakeDuration,metabolite_55,0.055833815863209936,1.801287660874283,0.07180480537265946,2060.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.28904113446277996
sleep_awakeningsCount,metabolite_55,0.04034035381073435,1.150672991130645,0.24998999543034078,2248.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.5535492755957546
sleep_efficiency,metabolite_55,0.0006405038271542428,0.7603785247647022,0.4471126724930655,2141.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.7266394674483035
sleep_minutesAfterWakeup,metabolite_55,0.02129401994982307,0.6064912742966224,0.5442603503334047,1933.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.787683665347794
sleep_minutesAsleep,metabolite_55,0.02782512812889197,1.3145335298169578,0.18880493816770508,2196.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.48868226318454955
sleep_restlessDuration,metabolite_55,-0.05256477579392197,-1.8999860607340116,0.05757473639784897,2071.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.25742324829201785
sleep_awakeDuration,metabolite_62,0.10877173193416954,2.9383492896987087,0.0033411507570139214,1836.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.048187612789660675
sleep_awakeningsCount,metabolite_62,-0.012676585895808253,-0.302245442873599,0.7624965183439528,2007.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.9089173069963457
sleep_efficiency,metabolite_62,-0.0016970074035351501,-1.6645780230507492,0.09616211571027279,1912.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.3405767906376963
sleep_minutesAfterWakeup,metabolite_62,-0.04502001817362647,-1.0542785550511289,0.2919040812175104,1728.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.5948358950084062
sleep_minutesAsleep,metabolite_62,0.011952577159662227,0.47970897941866775,0.6314883896020138,1956.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.8354791203123038
sleep_restlessDuration,metabolite_62,0.05902436628882386,1.7938602744381846,0.07300050672393124,1845.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.2925603201619186
sleep_awakeDuration,metabolite_93,0.021897136643353073,0.39917313947668753,0.6898074157199983,2055.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.8702694917116783
sleep_awakeningsCount,metabolite_93,-0.02718943068292555,-0.4404578768854346,0.6596481472990738,2248.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.8518415385518804
sleep_efficiency,metabolite_93,0.000190587656576432,0.1291048791015585,0.8972869138822169,2134.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.9616383998162303
sleep_minutesAfterWakeup,metabolite_93,0.008407592330178213,0.13549565697736812,0.8922341937502511,1936.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.9596632584424436
sleep_minutesAsleep,metabolite_93,0.08660090806091968,2.3015909782814017,0.02145200577899168,2198.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.14962441703590332
sleep_restlessDuration,metabolite_93,0.06610844023869804,1.341190838906396,0.18000714224706038,2064.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.48043469830808694
sleep_awakeDuration,metabolite_98,0.021563400462906866,0.4018388802866454,0.687844576432908,2061.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.8694750608484461
sleep_awakeningsCount,metabolite_98,-0.009186108135756526,-0.14899410457093282,0.8815716848870858,2257.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.9569377385992809
sleep_efficiency,metabolite_98,-0.0021349888659014243,-1.43810463802457,0.15055113134014636,2147.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.4368331374119147
sleep_minutesAfterWakeup,metabolite_98,0.0424742874462556,0.6803533508074469,0.4963623550142846,1945.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.760284127224557
sleep_minutesAsleep,metabolite_98,0.07752290853391408,2.068155023251742,0.038742602897300735,2205.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.20548436580928237
sleep_restlessDuration,metabolite_98,0.10722013494763845,2.194083329694589,0.02834074974490191,2075.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.17137892839013555
sleep_awakeDuration,metabolite_111,-0.027088346487198926,-0.7411093659762275,0.4587116429657875,2074.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.733521556407942
sleep_awakeningsCount,metabolite_111,-0.016099396584747547,-0.38452499232237963,0.7006256828891662,2267.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.877247404480661
sleep_efficiency,metabolite_111,-0.0022889883119620994,-2.2810476211848068,0.02264340478589404,2157.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.15230193057178845
sleep_minutesAfterWakeup,metabolite_111,0.04463612953622903,1.0644735365861446,0.28724711707138756,1949.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.5898024170091605
sleep_minutesAsleep,metabolite_111,-0.035471339710202505,-1.4030397898029878,0.1607462135334579,2213.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.4530120563215631
sleep_restlessDuration,metabolite_111,-0.0267662223725867,-0.8118129895711594,0.41699237797055644,2083.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.7070042998708913
sleep_awakeDuration,metabolite_112,0.09775188780101508,1.7672486737126631,0.07733469810464658,2074.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.29988739149997384
sleep_awakeningsCount,metabolite_112,-0.05862890609224841,-0.9398639753479048,0.34738831358772126,2263.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.6547213708917431
sleep_efficiency,metabolite_112,-0.0013985648490407732,-0.9213112065981512,0.3569919662186163,2152.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.6628621913195237
sleep_minutesAfterWakeup,metabolite_112,0.11023191948424116,1.7721552728810601,0.07652619685920034,1949.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.2989632509940279
sleep_minutesAsleep,metabolite_112,0.09986902982353477,2.6495673015933243,0.008117309352588007,2210.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.08199394503344515
sleep_restlessDuration,metabolite_112,0.09524715804577716,1.9319172703948022,0.053506374069671986,2080.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.24731503936565266
