dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_awakeDuration,metabolite_35,-0.1566462291841516,-3.5913340273857255,0.00033719262319191153,1941.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.00861998582700081
sleep_awakeningsCount,metabolite_35,0.2349775174277686,4.603016621212327,4.411095457262821e-06,2120.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.00031312794538015595
sleep_efficiency,metabolite_35,0.00042666039610867465,0.3686463288785298,0.712430124069436,2018.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.8773630592713144
sleep_minutesAfterWakeup,metabolite_35,-0.06603045129108011,-1.3839856551523895,0.16653253663239187,1825.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.44250074019464125
sleep_minutesAsleep,metabolite_35,-0.13725637798543414,-4.597552665239231,4.533403615873477e-06,2070.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.0003173615065799981
sleep_restlessDuration,metabolite_35,-0.12989674250767014,-3.286079660486758,0.0010339817866170354,1951.0,35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0,0.019270512732514008
sleep_awakeDuration,metabolite_50,-0.12708282414955752,-3.871668142431557,0.00011174230399364861,1908.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.003743714209576029
sleep_awakeningsCount,metabolite_50,0.1513197577994822,3.882327415872337,0.00010669553491205896,2080.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.003671647270999461
sleep_efficiency,metabolite_50,-0.0005603242686353441,-0.6178988730609891,0.5367132429761331,1980.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.774693934335901
sleep_minutesAfterWakeup,metabolite_50,0.03074737537126923,0.835208923529323,0.40371192176555293,1789.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.6779122879639349
sleep_minutesAsleep,metabolite_50,-0.08778652318483031,-3.793475319285838,0.00015289315328190166,2038.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.004685827663651009
sleep_restlessDuration,metabolite_50,-0.06519811263341314,-2.1451393391754254,0.03206721747632215,1919.0,50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0,0.17262532042642884
sleep_awakeDuration,metabolite_55,0.047576429468850705,1.5172220198777333,0.1293644486274765,2060.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.3850696564190778
sleep_awakeningsCount,metabolite_55,0.03516893490103508,0.958918299840649,0.33770325417203595,2248.0,55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0,0.6214845967260191
