CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM
35,Glutamate Metabolism,Amino Acid,S-1-pyrroline-5-carboxylate,2906-39-0,C04322,HMDB01301,1196.0
50,Polyamine Metabolism,Amino Acid,spermidine,124-20-9,C00315,HMDB01257,1102.0
55,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide,1005-24-9,C02918,HMDB00699,457.0
62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0
71,Tryptophan Metabolism,Amino Acid,5-hydroxyindoleacetate,54-16-0,C05635,HMDB00763,1826.0
93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0
98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0
111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0
112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0
117,Phenylalanine and Tyrosine Metabolism,Amino Acid,homovanillate (HVA),306-08-1,C05582,HMDB00118,1738.0
132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,3-phosphoglycerate,80731-10-8,C00597,HMDB00807,724.0
136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0
144,Phenylalanine and Tyrosine Metabolism,Amino Acid,4-hydroxyphenylacetate,156-38-7,C00642,HMDB00020,127.0
158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0
171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0
179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0
180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0
181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0
182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0
189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0
192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0
194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0
197,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,S-adenosylhomocysteine (SAH),979-92-0,C00021,HMDB00939,439155.0
207,"Purine Metabolism, Adenine containing",Nucleotide,"adenosine 3',5'-cyclic monophosphate (cAMP)",60-92-4,C00575,HMDB00058,6076.0
209,"Purine Metabolism, Adenine containing",Nucleotide,adenosine 5'-monophosphate (AMP),149022-20-8,C00020,HMDB00045,6083.0
212,Polyamine Metabolism,Amino Acid,5-methylthioadenosine (MTA),2457-80-9,C00170,HMDB01173,439176.0
229,Polyunsaturated Fatty Acid (n3 and n6),Lipid,arachidonate (20:4n6),506-32-1,C00219,HMDB01043,444899.0
231,Urea cycle; Arginine and Proline Metabolism,Amino Acid,arginine,1119-34-2,C00062,HMDB00517,232.0
234,Alanine and Aspartate Metabolism,Amino Acid,aspartate,56-84-8,C00049,HMDB00191,5960.0
235,Phenylalanine and Tyrosine Metabolism,Amino Acid,2-hydroxyphenylacetate,614-75-5,C05852,HMDB00669,11970.0
240,Phenylalanine and Tyrosine Metabolism,Amino Acid,3-(4-hydroxyphenyl)lactate,6482-98-0,C03672,HMDB00755,9378.0
241,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenylpyruvate,156-06-9,C00166,HMDB00205,997.0
244,"Pyrimidine Metabolism, Uracil containing",Nucleotide,beta-alanine,56-41-7;107-95-9,C00099,HMDB00056,239.0
249,Dipeptide Derivative,Peptide,carnosine,305-84-0,C00386,HMDB00033,439224.0
250,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,biliverdin,55482-27-4;55482-27-4,C00500,HMDB01008,5353439.0
252,TCA Cycle,Energy,succinate,110-15-6,C00042,HMDB00254,1110.0
254,Ketone Bodies,Lipid,3-hydroxybutyrate (BHBA),625-72-9,C01089,HMDB00357,441.0
266,Sterol,Lipid,cholesterol,57-88-5,C00187,HMDB00067,11025495.0
267,Phospholipid Metabolism,Lipid,choline phosphate,72556-74-2,C00588,HMDB01565,1014.0
272,Steroid,Lipid,corticosterone,50-22-6,C02140,HMDB01547,5753.0
273,Steroid,Lipid,cortisone,53-06-5,C00762,HMDB02802,222786.0
275,Creatine Metabolism,Amino Acid,creatinine,60-27-5,C00791,HMDB00562,588.0
278,Glutathione Metabolism,Amino Acid,cysteinylglycine,19246-18-5,C01419,HMDB00078,439498.0
279,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,cystine,56-89-3,C00491,HMDB00192,67678.0
297,Sphingolipid Metabolism,Lipid,sphingosine,123-78-4,C00319,HMDB00252,5353955.0
302,Secondary Bile Acid Metabolism,Lipid,deoxycholate,83-44-3,C04483,HMDB00626,222528.0
310,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,cystathionine,535-34-2,C02291,HMDB00099,439258.0
313,Sphingolipid Metabolism,Lipid,sphinganine,3102-56-5,C00836,HMDB00269,3126.0
327,Riboflavin Metabolism,Cofactors and Vitamins,flavin adenine dinucleotide (FAD),146-14-5;84366-81-4,C00016,HMDB01248,643975.0
330,TCA Cycle,Energy,fumarate,100-17-8,C00122,HMDB00134,444972.0
331,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylglutamate,1116-22-9,C05282,HMDB11737,92865.0
338,Food Component/Plant,Xenobiotics,gluconate,527-07-1,C00257,HMDB00625,10690.0
339,Lysine Metabolism,Amino Acid,glutarate (C5-DC),110-94-1,C00489,HMDB00661,743.0
340,"Glycine, Serine and Threonine Metabolism",Amino Acid,glycine,56-40-6,C00037,HMDB00123,750.0
342,Primary Bile Acid Metabolism,Lipid,glycocholate,475-31-0;863-57-0,C01921,HMDB00138,10140.0
344,Creatine Metabolism,Amino Acid,guanidinoacetate,352-97-6,C00581,HMDB00128,763.0
355,Histidine Metabolism,Amino Acid,histidine,5934-29-2,C00135,HMDB00177,6274.0
356,Steroid,Lipid,cortisol,50-23-7,C00735,HMDB00063,5754.0
358,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,hypotaurine,300-84-5,C00519,HMDB00965,107812.0
361,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,inosine,58-63-9,C00294,HMDB00195,6021.0
363,Inositol Metabolism,Lipid,myo-inositol,87-89-8,C00137,HMDB00211,892.0
376,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,isoleucine,73-32-5,C00407,HMDB00172,6306.0
381,Lysine Metabolism,Amino Acid,2-aminoadipate,542-32-5;1118-90-7,C00956,HMDB00510,469.0
391,Urea cycle; Arginine and Proline Metabolism,Amino Acid,citrulline,372-75-8,C00327,HMDB00904,9750.0
393,Disaccharides and Oligosaccharides,Carbohydrate,lactose,5965-66-2,C00243,HMDB00186,84571.0
397,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,leucine,61-90-5,C00123,HMDB00687,6106.0
407,Lysine Metabolism,Amino Acid,lysine,56-87-1,C00047,HMDB00182,5962.0
409,TCA Cycle,Energy,malate,6915-15-7,C00149,HMDB00156,525.0
415,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,methionine,63-68-3,C00073,HMDB00696,6137.0
424,Long Chain Fatty Acid,Lipid,palmitate (16:0),57-10-3,C00249,HMDB00220,985.0
432,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,nicotinamide,98-92-0,C00153,HMDB01406,936.0
439,Long Chain Fatty Acid,Lipid,stearate (18:0),57-11-4,C01530,HMDB00827,5281.0
444,Urea cycle; Arginine and Proline Metabolism,Amino Acid,ornithine,3184-13-2,C00077,HMDB03374,6262.0
445,"Pyrimidine Metabolism, Orotate containing",Nucleotide,orotate,50887-69-9,C00295,HMDB00226,967.0
452,Long Chain Fatty Acid,Lipid,palmitoleate (16:1n7),373-49-9,C08362,HMDB03229,445638.0
460,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenylalanine,63-91-2,C00079,HMDB00159,6140.0
461,Oxidative Phosphorylation,Energy,phosphate,7664-38-2,C00009,HMDB01429,1061.0
480,Urea cycle; Arginine and Proline Metabolism,Amino Acid,proline,147-85-3,C00148,HMDB00162,145742.0
482,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,lactate,79-33-4,C00186,HMDB00190,612.0
491,Vitamin B6 Metabolism,Cofactors and Vitamins,pyridoxal,65-22-5,C00250,HMDB01545,1050.0
498,Vitamin A Metabolism,Cofactors and Vitamins,retinol (Vitamin A),68-26-8,C00473,HMDB00305,445354.0
501,Drug,Xenobiotics,salicylate,69-72-7,C00805,HMDB01895,338.0
503,"Glycine, Serine and Threonine Metabolism",Amino Acid,serine,56-45-1,C00065,HMDB00187,5951.0
504,Tryptophan Metabolism,Amino Acid,serotonin,153-98-0,C00780,HMDB00259,5202.0
